user_id,item_id,feature1,feature2
138140237,254186576,250.0,1.0
117916111,329283680,61.0,1.0
116324656,67303001,103.0,8.0
57105532,368405508,330.0,1.0
114008857,303552604,17.0,2.0
23442968,212054697,50.0,1.0
29881921,122844422,168.0,2.0
25142712,139670114,64.0,5.0
41318851,376269284,245.0,1.0
111240351,3018435,6.0,4.0
24625325,48976143,147.0,6.0
113309982,381222202,44.0,3.0
83976914,375731868,412.0,1.0
94290427,66728841,46.0,1.0
73427429,3920935,64.0,1.0
132231447,128023839,2.0,1.0
5481789,279216418,217.0,1.0
75648334,178097338,377.0,1.0
23501761,242982274,409.0,2.0
75377193,70535120,110.0,5.0
11561834,141264015,62.0,1.0
86241219,288797227,140.0,1.0
88090767,216851668,127.0,1.0
122131736,222428649,117.0,6.0
119793858,92226262,215.0,1.0
90024783,26798216,106.0,1.0
27411600,17868574,180.0,1.0
16864147,44284253,16.0,1.0
119938369,2971833,21.0,3.0
52525317,220665629,23.0,17.0
52132931,291816693,156.0,2.0
59688022,140493435,290.0,2.0
8562010,61545538,47.0,1.0
36445695,388591559,60.0,7.0
134261042,12754595,145.0,2.0
111497529,233553504,26.0,1.0
81611585,381261029,27.0,1.0
106586433,142785046,210.0,1.0
69550262,41992285,47.0,1.0
140780237,258610992,27.0,1.0
139756567,19951970,39.0,2.0
1627203,234091975,746.0,1.0
33470115,246120781,172.0,2.0
21322266,246600035,152.0,1.0
85363944,88924002,180.0,1.0
94524054,246533474,149.0,2.0
44443335,161588940,202.0,3.0
141780635,136430172,34.0,1.0
29113883,257995604,8.0,1.0
88999753,244438112,695.0,5.0
38965513,256013269,150.0,3.0
88538921,137477721,58.0,1.0
31222716,370731092,149.0,6.0
41566029,344585633,553.0,1.0
88999753,56365225,695.0,8.0
27298182,374537132,128.0,1.0
126925524,229272996,52.0,1.0
29433147,335353184,81.0,1.0
25756303,186439735,135.0,1.0
20853047,218415667,3.0,1.0
84766191,66201614,23.0,1.0
39395202,311641056,112.0,1.0
28190790,214178613,5.0,1.0
69246472,283112555,153.0,2.0
46372358,173589377,219.0,1.0
118648150,267639523,13.0,1.0
24139240,271600793,13.0,1.0
418175,262705317,46.0,1.0
118356281,178604863,47.0,1.0
94076145,298511577,194.0,1.0
132315137,172197408,3041.0,1.0
89003687,258873599,310.0,2.0
137948981,96238559,12.0,1.0
92318081,42041806,131.0,4.0
69938358,244571823,25.0,1.0
79395550,182166900,13.0,2.0
84916776,340078223,9.0,2.0
132315137,51852736,3041.0,1.0
49646570,387815272,127.0,1.0
117044327,64787521,71.0,2.0
15709274,289462964,52.0,2.0
29898034,199793976,38.0,1.0
34733798,249157642,38.0,1.0
33713238,76549797,254.0,1.0
64266338,28870495,12.0,1.0
115614893,320770242,14.0,1.0
111671760,177299675,359.0,1.0
22182160,284570861,76.0,3.0
131187235,125380022,192.0,2.0
65215006,137199102,18.0,1.0
33940605,297697461,429.0,1.0
7419355,96076959,32.0,2.0
136394248,187818298,60.0,6.0
130081236,242664826,41.0,1.0
33940605,58869067,429.0,1.0
103336492,258648651,366.0,8.0
303013,278639178,266.0,1.0
19658853,289738065,51.0,1.0
138072562,247758422,139.0,2.0
46485348,326640091,848.0,1.0
52808446,147271967,521.0,3.0
121548999,210997784,17.0,1.0
87820307,187994939,34.0,1.0
132315137,56929979,3041.0,2.0
126665202,358795805,694.0,1.0
21023173,164585207,56.0,2.0
54658244,181855059,394.0,2.0
29217415,40522625,122.0,1.0
54877200,6884170,7.0,1.0
122253338,27125724,54.0,2.0
37672460,168152813,144.0,1.0
94628165,342264569,98.0,1.0
31309091,178420650,208.0,1.0
25678919,367139467,95.0,1.0
73303243,234780852,11.0,2.0
4164164,258330406,159.0,2.0
115949891,176460929,37.0,1.0
23806494,312895944,33.0,2.0
117982961,325659084,8.0,1.0
30079563,149912847,111.0,1.0
9573620,8718185,63.0,14.0
15583256,17827111,72.0,5.0
14210817,320354432,181.0,1.0
52957351,93533695,19.0,1.0
109421576,272279396,99.0,1.0
60132462,96122488,37.0,1.0
75648334,363211758,377.0,1.0
117888464,177521705,87.0,1.0
60894054,396761532,57.0,1.0
109639192,98547602,414.0,1.0
95103333,26564609,112.0,1.0
26347276,370409631,470.0,1.0
54788662,9510510,25.0,2.0
127581031,361688965,118.0,1.0
17258875,247894533,581.0,1.0
133296696,235910404,11.0,14.0
8973625,150171345,443.0,1.0
126590304,286669481,141.0,1.0
77815658,81398256,53.0,1.0
23923497,242197991,16.0,1.0
63712853,170007401,229.0,1.0
13630759,333463930,10.0,1.0
101955475,188786962,693.0,2.0
26917106,155669986,49.0,1.0
118117975,370222118,36.0,2.0
2887948,225851436,399.0,2.0
114008857,152507745,17.0,3.0
13014253,100365561,6.0,1.0
63697884,338991353,401.0,1.0
112133723,400242966,86.0,1.0
54133893,371923633,217.0,2.0
95885873,250116667,128.0,1.0
42407685,227186121,58.0,1.0
99781237,48426430,145.0,3.0
83688949,113277233,8.0,1.0
54658244,209129671,394.0,1.0
107024477,312152191,223.0,4.0
31166915,83295627,94.0,1.0
106083110,130843827,265.0,1.0
129077923,82123828,140.0,3.0
87732841,342736037,341.0,1.0
135426325,379949050,141.0,2.0
14238614,95389188,51.0,1.0
118352761,189305667,78.0,7.0
46476731,229715658,40.0,2.0
47248096,346794151,821.0,3.0
4310004,344786037,143.0,1.0
95482704,310399308,24.0,4.0
30080377,160197408,1024.0,1.0
109002193,9929516,13.0,3.0
110848208,68936013,253.0,1.0
5187945,60824383,257.0,1.0
100530696,198902723,97.0,1.0
7432045,282450646,40.0,2.0
39660335,140581083,67.0,2.0
12027609,69659545,33.0,1.0
33245877,36074923,259.0,6.0
69550262,252879953,47.0,1.0
101955475,256632200,693.0,3.0
25665414,129260223,23.0,1.0
97281252,262517482,5.0,4.0
108290167,46224292,49.0,1.0
131662045,248583739,1.0,1.0
98199141,324851937,120.0,3.0
30963780,197752798,28.0,1.0
113469201,263481788,38.0,1.0
70411053,256362191,75.0,1.0
24001750,403025890,40.0,4.0
96578339,47986142,43.0,1.0
57824292,331271115,53.0,6.0
58468151,153158234,96.0,1.0
24051953,156120832,51.0,1.0
45820472,64328044,183.0,1.0
50684235,25382467,71.0,1.0
7196391,26456360,182.0,1.0
46405869,264530449,55.0,16.0
79919662,43824326,9.0,1.0
135118073,365159570,3.0,1.0
135124427,30963626,73.0,1.0
82539272,63986874,37.0,2.0
44443335,16902861,202.0,2.0
3191339,346982426,154.0,1.0
90689083,291748729,135.0,1.0
122183715,165177176,79.0,2.0
78027293,154351837,196.0,2.0
36728801,341378583,5.0,1.0
50196156,81948742,44.0,1.0
47548482,97595091,2.0,1.0
121000384,28910257,135.0,2.0
99693145,391129150,428.0,1.0
102825286,358195534,66.0,1.0
65430299,127455289,270.0,1.0
1627203,392751843,746.0,1.0
24045086,338124992,8.0,6.0
98669047,143741094,17.0,1.0
81611585,169271762,27.0,2.0
84554441,222427826,152.0,1.0
80458455,62873038,16.0,1.0
11683605,15354788,21.0,1.0
109694257,311145593,18.0,1.0
135756066,29931186,70.0,1.0
84760261,96071783,57.0,5.0
88927446,355769561,62.0,1.0
104841708,313118451,235.0,2.0
121194621,102318434,99.0,4.0
30080377,332032363,1024.0,1.0
62336318,391113905,2188.0,1.0
15538158,280974711,86.0,1.0
56592437,287980216,4.0,1.0
129680783,8573638,36.0,1.0
117916111,307717059,61.0,2.0
75971112,389592892,119.0,1.0
27298182,159005521,128.0,1.0
86530795,101895470,11.0,2.0
101955475,371820052,693.0,1.0
37338448,232909968,282.0,1.0
847362,387022550,28.0,1.0
79046175,54110435,48.0,1.0
25215291,21832653,9.0,3.0
46485348,8443679,848.0,1.0
68517256,216584635,48.0,1.0
75888387,69527012,28.0,1.0
101955475,203921758,693.0,6.0
44706382,372120963,72.0,1.0
121853494,169342049,101.0,2.0
116905978,84625584,109.0,1.0
88033835,321902159,29.0,3.0
119278510,159209095,61.0,1.0
45914095,53218763,68.0,1.0
70351058,207923204,145.0,2.0
21406678,403803036,29.0,18.0
94145179,257666776,76.0,2.0
111671760,136660385,359.0,1.0
81209558,287871159,120.0,2.0
109355858,316848001,68.0,1.0
67849399,296208392,46.0,1.0
114575541,343467824,54.0,1.0
