user_id,item_id,user_cartnum,item_cartnum
19877012,24670390,49.0,2.0
76918147,21933854,597.0,1.0
83583566,188329744,133.0,3.0
14555625,275676831,65.0,2.0
119687381,153994408,68.0,2.0
90251602,10863759,305.0,2.0
86531384,380218017,290.0,2.0
83976914,3598584,412.0,3.0
132233475,157222312,77.0,1.0
124167000,4486554,464.0,1.0
97089469,239968054,113.0,2.0
53308425,220083935,133.0,2.0
101570549,386204441,45.0,2.0
130461158,343377121,840.0,2.0
115312970,323737435,21.0,5.0
93182231,245733521,103.0,3.0
131965938,238748087,44.0,2.0
74335554,69010024,319.0,4.0
95528086,337264594,8.0,2.0
3066501,194121445,11.0,2.0
54658244,124740763,394.0,2.0
80894940,85750486,103.0,5.0
102244291,137059440,82.0,2.0
18658765,310894938,133.0,5.0
82857884,165464837,23.0,3.0
37188049,332158783,47.0,3.0
75135449,292886855,50.0,2.0
2355429,107285137,80.0,2.0
32400706,133321902,205.0,5.0
93890776,38181334,145.0,2.0
74953244,358652353,46.0,2.0
95411085,396777904,25.0,1.0
61531068,333606546,84.0,1.0
109005178,357828069,76.0,2.0
25535039,259072054,31.0,1.0
51826644,124163667,119.0,2.0
71517427,397606004,137.0,2.0
86626211,164947680,24.0,3.0
110122107,92934456,136.0,2.0
119687381,372768555,68.0,2.0
29091169,166721554,15.0,7.0
20626308,401382795,84.0,3.0
75648334,75746707,377.0,2.0
22846324,248678326,202.0,4.0
134029279,225135503,55.0,1.0
84080163,402493163,67.0,2.0
89492416,351793368,89.0,3.0
1017622,17181108,226.0,2.0
137359772,366792615,27.0,2.0
32696162,380080260,11.0,2.0
45163199,77433368,3.0,5.0
60296781,307025590,47.0,4.0
106029601,108673156,68.0,2.0
90291184,297161768,69.0,11.0
78574430,189615522,141.0,1.0
109005178,45450609,76.0,8.0
80894940,63940672,103.0,5.0
115971384,99795326,328.0,2.0
3750447,322869350,38.0,2.0
75648334,196103583,377.0,3.0
75232063,208960176,164.0,6.0
40737016,186348629,28.0,2.0
133463691,393423629,124.0,2.0
80894940,53525660,103.0,4.0
58883715,50999488,63.0,3.0
4261260,383495355,154.0,2.0
89492416,366845794,89.0,2.0
52655107,13688000,122.0,2.0
29550258,317358736,25.0,2.0
76048990,43359414,152.0,2.0
49829658,165818906,67.0,2.0
97378097,145108925,17.0,32.0
119687381,321357271,68.0,2.0
4601466,205895027,159.0,4.0
25831491,172530265,14.0,5.0
107680357,142434490,37.0,4.0
30699451,391680136,24.0,2.0
50340729,257341585,6.0,2.0
107024477,286003516,223.0,4.0
125573135,214204975,72.0,2.0
12051954,386483645,63.0,4.0
22007082,162951279,3.0,2.0
86929922,139597143,65.0,1.0
37709773,318661027,163.0,2.0
55530513,313045652,23.0,1.0
3750447,61327706,38.0,2.0
89492416,272427362,89.0,2.0
4008563,404256208,57.0,2.0
96790667,166522472,42.0,1.0
42694858,330631189,52.0,4.0
10149605,90329402,503.0,6.0
131404662,366577480,30.0,5.0
120964894,218567831,155.0,4.0
82857884,189738444,23.0,2.0
94628165,309722125,98.0,2.0
66369549,217203927,563.0,1.0
97089469,290376871,113.0,3.0
55694827,169986353,11.0,2.0
23038853,221191123,99.0,1.0
76048990,195575726,152.0,2.0
90291184,103412996,69.0,9.0
28720302,180494189,113.0,1.0
75135449,280764598,50.0,2.0
110122107,96316588,136.0,2.0
7176156,190431666,5.0,1.0
75648334,314598122,377.0,2.0
14656393,267677097,434.0,1.0
66420329,343652770,36.0,1.0
27809186,46328789,90.0,2.0
121393413,329950803,74.0,2.0
139458443,184995596,7.0,7.0
80332039,296094934,89.0,24.0
82857884,403958258,23.0,5.0
77881862,402997342,117.0,6.0
12399556,327132085,425.0,3.0
142151675,225822506,67.0,2.0
91750843,146817966,6.0,9.0
56472082,284936687,36.0,1.0
27809186,343066193,90.0,2.0
139435539,353690870,46.0,1.0
89819548,358422938,7.0,3.0
75648334,287813798,377.0,3.0
4919496,315310321,62.0,3.0
69871078,320148593,32.0,2.0
108030981,180321689,390.0,2.0
110122107,290842540,136.0,2.0
75648334,20002626,377.0,7.0
93182231,151410076,103.0,2.0
27809186,37468210,90.0,3.0
91719173,401462841,124.0,2.0
97378097,242674941,17.0,11.0
55694827,329492553,11.0,2.0
128719503,13377263,44.0,1.0
60408225,25031074,123.0,2.0
103774521,85655797,187.0,1.0
128716151,82741914,128.0,4.0
3750447,125660750,38.0,3.0
33792390,23298805,93.0,6.0
45085914,391450336,18.0,2.0
75648334,185179614,377.0,2.0
75135449,167457040,50.0,2.0
74248390,268772979,98.0,3.0
123001606,276113333,35.0,2.0
75135449,339330789,50.0,2.0
15412753,312498799,142.0,2.0
32958231,47273431,90.0,4.0
423794,71268481,15.0,2.0
80894940,114976362,103.0,4.0
110122107,52687528,136.0,2.0
110848208,327829814,253.0,1.0
84904440,220630103,50.0,2.0
97636554,332759082,115.0,2.0
101570549,260719417,45.0,2.0
5240052,299965343,108.0,3.0
